#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
517,Drew Sommers,DET,1,1,0,23,0,23,7.48,3.53,0.81,0.302,73.60%,51.90%,3.71,3.97,0.1
518,Austin Peterson,CLE,2,2,0,17,3,32.1,6.69,2.22,1.43,0.291,71.00%,40.60%,4.48,4.57,0.1
519,Mitch Bratt,ARI,1,1,0,2,2,9.1,7.31,2.54,1.29,0.296,71.20%,39.00%,4.37,4.34,0.1
520,Marco Raya,MIN,1,1,0,26,0,26,8.17,3.72,1.01,0.302,72.30%,45.70%,4.14,4.15,0.1
521,Grant Anderson,MIL,3,3,0,56,0,56,8.79,3.56,1.22,0.291,73.20%,40.70%,4.13,4.25,0.1
522,Ken Waldichuk,WSN,3,3,0,54,0,54,8.78,3.77,1.21,0.29,74.00%,37.80%,4.1,4.32,0.1
523,Porter Hodge,CHC,1,1,0,28,0,28,9.75,4.47,1.04,0.291,74.70%,42.00%,3.86,4.08,0.1
524,Steven Cruz,KCR,2,2,0,45,0,45,8.43,3.9,1.12,0.299,72.20%,41.60%,4.3,4.31,0.1
525,Duncan Davitt,CHW,1,1,0,26,0,26,7.52,2.59,1.28,0.29,72.60%,41.40%,4.15,4.32,0.1
526,Martín Pérez,ATL,1,1,0,2,2,9,7.06,3.38,1.21,0.305,71.20%,44.30%,4.6,4.56,0.1
527,Yerry De los Santos,NYY,2,2,0,40,0,40,7.33,3.48,1.02,0.295,73.30%,49.60%,3.98,4.24,0.1
528,Bryce Montes de Oca,WSN,0,0,0,8,0,8,10.73,4.19,0.96,0.293,75.30%,40.40%,3.58,3.66,0.1
529,Ryan Lambert,NYM,2,2,0,36,0,36,9.88,4.42,1.13,0.285,74.60%,37.30%,3.95,4.16,0.1
530,Osvaldo Bido,ATL,1,1,0,22,0,22,8.78,3.05,1.28,0.291,72.20%,35.10%,4.22,4.22,0.1
531,Nick Sandlin,LAA,1,2,0,30,0,30,8.98,4.14,1.28,0.292,72.90%,38.60%,4.37,4.51,0.1
532,Bradgley Rodriguez,SDP,3,3,0,52,0,52,8.24,4.29,1.08,0.293,73.10%,44.40%,4.2,4.45,0.1
533,Connor Brogdon,CLE,2,3,0,52,0,52,8.74,3.43,1.32,0.289,73.00%,37.00%,4.27,4.35,0.1
534,Cionel Pérez,WSN,3,3,2,57,0,57,7.95,4.55,0.84,0.301,73.60%,49.60%,3.94,4.24,0.1
535,Alex Carrillo,NYM,1,1,0,20,0,20,9.4,4.19,1.16,0.286,74.20%,38.50%,4.03,4.24,0.1
536,Danny Young,ATL,1,1,0,18,0,18,9.22,3.96,0.89,0.307,74.00%,48.70%,3.77,3.88,0.1
537,Tyler Ferguson,ATH,3,3,0,52,0,52,8.86,4.23,1.15,0.293,73.10%,40.20%,4.25,4.39,0.1
538,Paul Sewald,ARI,3,3,15,62,0,62,8.91,3.15,1.37,0.289,71.90%,30.20%,4.4,4.33,0.1
539,Héctor Neris,,1,1,0,22,0,22,9.13,3.94,1.26,0.293,72.30%,34.80%,4.39,4.37,0.1
540,Tommy Kahnle,BOS,2,2,0,46,0,46,8.07,4.23,1.04,0.307,71.80%,47.20%,4.41,4.37,0.1
541,Seth Halvorsen,COL,2,3,0,50,0,50,8.03,4.14,1.2,0.314,70.90%,46.10%,4.77,4.58,0.1
542,Kohl Drake,ARI,1,1,0,2,2,9.1,7.55,3.48,1.2,0.297,71.50%,41.20%,4.45,4.48,0.1
543,Brody Hopkins,TBR,0,1,0,2,2,9.1,7.68,4.18,1.21,0.293,71.10%,43.80%,4.61,4.75,0.1
544,Ryan Watson,BOS,2,2,0,42,0,42,7.53,3.31,1.13,0.302,71.50%,45.00%,4.34,4.31,0.1
545,Tyler Uberstine,BOS,0,1,0,2,2,9.1,7.29,3.01,1.44,0.296,69.70%,38.60%,4.84,4.73,0.1
546,Landon Knack,LAD,1,1,0,16,2,22.2,8.25,3.35,1.61,0.285,72.30%,35.20%,4.72,4.84,0.1
547,Tink Hence,STL,0,1,0,2,2,9.1,7.28,3.46,1.24,0.293,71.60%,42.20%,4.46,4.57,0.1
548,Hunter Stratton,ATL,1,1,0,30,0,30,8.24,3.14,1.21,0.298,72.20%,40.80%,4.24,4.24,0.1
549,Luis Perales,WSN,1,1,0,21,0,21,8.99,3.98,1.12,0.289,73.60%,40.10%,4.03,4.2,0.1
550,Elvis Alvarado,ATH,3,3,2,54,0,54,8.97,4.45,1.18,0.292,73.00%,40.20%,4.32,4.47,0.1
551,Elmer Rodríguez,NYY,0,0,0,8,0,8,8.55,3.36,0.92,0.294,74.60%,49.90%,3.56,3.8,0.1
552,McCade Brown,COL,1,2,0,13,3,27.1,8.22,3.9,1.52,0.306,69.30%,37.70%,5.25,4.98,0.1
553,Doug Nikhazy,CLE,2,2,0,27,2,34,8.05,3.85,1.32,0.287,73.20%,37.70%,4.38,4.64,0.1
554,Joe Mantiply,TOR,1,1,0,11,0,11,7.48,2.57,1.01,0.299,73.50%,46.80%,3.76,3.89,0.1
555,Jhony Brito,SDP,1,1,0,18,0,18,7.83,2.97,1.12,0.296,72.70%,44.10%,4.03,4.11,0.1
556,Yuki Matsui,SDP,2,2,0,44,0,44,9.25,3.99,1.24,0.289,74.80%,36.20%,4.06,4.28,0.1
557,Sean Sullivan,COL,0,1,0,2,2,9.1,6.63,2.65,1.66,0.304,69.10%,38.10%,5.25,5.07,0.1
558,Franco Aleman,CLE,1,1,0,22,0,22,9.2,3.92,1.1,0.295,73.50%,42.20%,4.03,4.13,0.1
559,Zach Pop,PHI,2,2,0,42,0,42,7.05,3.34,1.03,0.303,72.20%,51.50%,4.17,4.3,0.1
560,Carlos Lagrange,NYY,1,1,0,12,0,12,9.85,4.07,1.11,0.285,74.70%,40.30%,3.83,4.06,0
561,Nick Raquet,STL,2,2,0,32,0,32,6.94,3.23,1.06,0.295,72.90%,45.00%,4.07,4.34,0
562,Evan Reifert,TBR,0,0,0,8,0,8,9.88,4.33,0.99,0.293,74.40%,42.70%,3.81,3.95,0
563,Nick Anderson,ATH,2,2,0,40,0,40,8.07,3.48,1.32,0.294,72.60%,38.70%,4.42,4.51,0
564,AJ Smith-Shawver,ATL,0,0,0,8,0,8,10.32,3.32,1.14,0.294,74.10%,36.90%,3.79,3.69,0
565,Lou Trivino,PHI,1,1,0,24,0,24,7.96,3.7,1.24,0.291,72.20%,41.20%,4.37,4.54,0
566,Bobby Miller,LAD,1,1,0,18,0,18,8.9,3.66,1.2,0.294,73.50%,43.80%,4.09,4.23,0
567,Cal Quantrill,TEX,0,1,0,2,2,8.1,6.79,3.04,1.47,0.297,69.60%,39.00%,4.98,4.91,0
568,Julian Aguiar,CIN,2,2,0,28,2,35,7.11,2.7,1.48,0.293,71.30%,41.60%,4.63,4.76,0
569,Joel Kuhnel,ATH,1,1,0,11,0,11,6.2,2.6,0.98,0.306,71.50%,52.90%,4.08,4.17,0
570,Paxton Schultz,WSN,1,1,0,28,0,28,8.15,3.31,1.32,0.286,72.80%,36.70%,4.3,4.44,0
571,Julian Merryweather,MIN,1,1,0,16,0,16,9.25,3.98,1.08,0.299,73.10%,40.20%,4.1,4.08,0
572,Jake Bennett,BOS,1,1,0,18,0,18,7.19,3.05,1.08,0.304,72.10%,46.20%,4.19,4.23,0
573,Ryan Webb,CLE,0,1,0,2,2,9.1,6.9,3.82,1.22,0.298,71.10%,45.00%,4.66,4.8,0
574,Derek Law,ARI,1,1,0,17,0,17,7.85,3.22,0.99,0.307,71.80%,45.70%,4.12,4.01,0
575,Joel Payamps,ATL,3,3,0,55,0,55,8.25,2.96,1.19,0.299,72.50%,41.30%,4.14,4.13,0
576,Mitch Farris,LAA,0,1,0,2,2,9,7.56,4.02,1.4,0.294,72.20%,39.70%,4.74,4.93,0
577,Matt Festa,CLE,3,3,0,60,0,60,8.57,3.38,1.21,0.291,72.60%,39.80%,4.17,4.25,0
578,Jake Woodford,MIL,1,1,0,24,0,24,7.21,2.48,1.22,0.297,71.70%,43.50%,4.22,4.28,0
579,Henry Baez,ATH,0,0,0,10,0,10,7.3,3.07,1.03,0.302,71.90%,48.90%,4.1,4.18,0
580,Pete Hansen,STL,0,1,0,2,2,9.1,5.66,2.99,1.23,0.293,71.30%,44.30%,4.51,4.78,0
581,Zack Thompson,STL,1,1,0,12,0,12,8.92,3.75,1.01,0.292,74.80%,43.10%,3.73,3.99,0
582,Angel Bastardo,TOR,1,0,0,10,0,10,8.81,3.57,1.1,0.292,73.60%,42.50%,3.95,4.07,0
583,Lake Bachar,MIA,2,3,0,52,0,52,8.71,3.65,1.26,0.289,73.00%,36.90%,4.24,4.34,0
584,Brycen Mautz,STL,1,1,0,16,0,16,7.84,2.93,1.08,0.29,73.90%,42.40%,3.8,4.07,0
585,Matt Waldron,SDP,0,1,0,2,2,9,6.89,2.81,1.47,0.291,70.50%,39.40%,4.72,4.8,0
586,Tayler Saucedo,LAA,1,1,0,25,0,25,7.92,3.98,0.99,0.303,73.20%,48.70%,4.08,4.28,0
587,Shane Murphy,CHW,1,1,0,21,0,21,6.63,2.26,1.32,0.289,73.20%,41.20%,4.14,4.42,0
588,Jake Cousins,LAD,0,0,0,8,0,8,9.83,4.31,1.12,0.295,74.20%,43.20%,4,4.16,0
589,Beau Brieske,DET,1,1,0,24,0,24,8.16,3.67,1.22,0.29,72.70%,37.60%,4.29,4.4,0
590,Albert Suárez,BAL,1,1,0,21,0,21,7.83,2.57,1.23,0.302,72.30%,42.30%,4.18,4.13,0
591,Travis Adams,MIN,2,3,0,31,3,46,6.87,3.11,1.25,0.3,70.60%,42.60%,4.62,4.58,0
592,Ethan Roberts,CHC,2,2,0,42,0,42,8.45,3.71,1.26,0.291,72.80%,38.90%,4.3,4.46,0
593,Justin Bruihl,STL,3,3,0,54,0,54,7.58,3.51,0.94,0.298,73.40%,47.50%,3.89,4.17,0
594,Jean Cabrera,PHI,0,1,0,2,2,9.1,6.27,3.7,1.36,0.292,70.40%,45.20%,4.87,5.08,0
595,Sammy Peralta,MIL,0,0,0,10,0,10,7.5,2.99,1.18,0.294,73.10%,42.90%,4.1,4.3,0
596,José Fermin,LAA,1,1,0,26,0,26,9.42,4.42,1.29,0.291,73.50%,36.40%,4.38,4.5,0
597,David Morgan,SDP,3,3,0,58,0,58,8.78,3.8,1.12,0.293,73.40%,42.10%,4.06,4.21,0
598,Connor Phillips,CIN,3,3,0,58,0,58,9.64,4.25,1.31,0.292,73.40%,38.90%,4.35,4.47,0
599,Ben Kudrna,KCR,1,1,0,10,2,17.1,6.81,3.85,1.2,0.302,70.50%,45.00%,4.75,4.76,0
600,Isaac Mattson,PIT,3,3,5,61,0,61,8.31,3.98,1.24,0.289,72.30%,35.00%,4.44,4.53,0
601,Alan Rangel,PHI,1,1,0,14,2,21.1,7.39,2.81,1.56,0.284,72.00%,35.50%,4.59,4.77,0
602,Riley Gowens,CHW,0,1,0,10,0,10,8.58,3.13,1.31,0.287,73.40%,37.60%,4.14,4.29,0
603,Daysbel Hernández,ATL,1,1,0,24,0,24,9.79,4.79,1.04,0.299,73.60%,41.10%,4.13,4.2,0
604,Chris Roycroft,STL,2,3,0,52,0,52,7.14,3.95,0.92,0.3,72.60%,50.20%,4.1,4.32,0
605,Keegan Thompson,COL,2,2,0,40,0,40,8.4,3.66,1.34,0.311,70.60%,40.90%,4.82,4.58,0
606,Chen Zhong-Ao Zhuang,ATH,0,0,0,8,0,8,7.7,2.24,1.35,0.29,72.50%,38.40%,4.15,4.22,0
607,Craig Kimbrel,NYM,1,1,0,14,0,14,10.34,4.3,1.13,0.282,74.30%,35.20%,3.91,4.06,0
608,Jhancarlos Lara,ATL,1,1,0,14,0,14,9.87,5.24,0.88,0.304,73.90%,47.60%,3.98,4.13,0
609,Brandyn Garcia,ARI,2,2,0,46,0,46,7.98,3.89,0.85,0.306,72.80%,49.60%,3.95,4.07,0
610,Cody Laweryson,MIN,2,3,0,50,0,50,7.38,3.3,1.28,0.295,71.30%,39.20%,4.54,4.57,0
611,Ben Casparius,LAD,3,3,0,55,0,55,8.48,3.3,1.44,0.288,72.70%,35.40%,4.44,4.56,0
612,Ron Marinaccio,SDP,2,2,0,40,0,40,8.35,4.06,1.18,0.29,72.20%,40.90%,4.35,4.52,0
613,Jose Corniell,TEX,0,0,0,10,0,10,8.58,3.15,1.22,0.292,73.00%,39.60%,4.1,4.17,0
614,José Buttó,SFG,3,3,2,64,0,64,8.39,3.5,1.01,0.297,72.90%,43.60%,3.98,4.03,0
615,Tristan Beck,SFG,1,1,0,20,0,20,7.85,2.84,1.14,0.294,72.40%,40.60%,4.08,4.11,0
616,Griff McGarry,PHI,0,0,0,10,0,10,9.76,4.92,1.1,0.29,74.10%,41.20%,4.1,4.33,0
617,Jedixson Paez,CHW,2,3,0,52,0,52,6.97,3.16,1.23,0.296,72.00%,44.60%,4.38,4.54,0
618,Trenton Denholm,CLE,0,1,0,2,2,9.1,5.67,2.53,1.53,0.292,69.60%,41.60%,4.94,5.03,0
619,Thomas Harrington,PIT,1,1,0,12,2,19.1,7.2,2.74,1.41,0.29,70.90%,35.50%,4.59,4.62,0
620,Lazaro Estrada,TOR,2,2,0,32,0,32,8.28,2.53,1.38,0.283,73.10%,35.10%,4.12,4.26,0
621,Zach Franklin,CHW,0,0,0,8,0,8,8.83,4,1.19,0.291,73.70%,40.70%,4.15,4.35,0
622,Joe Ross,ARI,2,2,0,34,0,34,7.61,3.22,1.06,0.306,72.20%,43.90%,4.18,4.17,0
623,Adam Laskey,COL,0,0,0,8,0,8,6.5,3.19,1.07,0.321,70.50%,51.60%,4.61,4.44,0
624,Riley Martin,CHC,1,1,0,20,0,20,8.8,4.74,0.95,0.295,74.70%,47.10%,3.89,4.25,0
625,Adam Macko,TOR,1,1,0,18,0,18,8.3,3.44,1.2,0.287,73.70%,39.70%,4.05,4.32,0
626,Trevor Stephan,CLE,1,1,0,18,0,18,8.61,3.29,1.23,0.293,71.90%,38.90%,4.25,4.24,0
627,Sam Aldegheri,LAA,1,2,0,5,5,27.1,6.5,4.28,1.54,0.29,70.40%,38.20%,5.27,5.51,0
628,David Sandlin,CHW,1,1,0,18,0,18,7.93,3.04,1.38,0.286,73.00%,37.40%,4.3,4.49,0
629,Gordon Graceffo,STL,2,2,0,44,0,44,7.14,2.67,1.1,0.297,72.20%,44.30%,4.06,4.14,0
630,Tate Kuehner,MIL,1,1,0,12,0,12,8.34,4.03,1.05,0.294,73.90%,45.20%,3.99,4.28,0
631,Jared Lyons,CIN,0,1,0,2,2,9.1,6.72,3.85,1.66,0.292,70.20%,40.10%,5.32,5.43,0
632,Yoniel Curet,PHI,0,1,0,2,2,9.1,7.56,4.79,1.42,0.286,70.70%,40.20%,5.06,5.31,0
633,Emmanuel Clase,CLE,0,0,0,1,0,1,9.09,2.4,0.8,0.304,74.20%,51.10%,3.24,3.18,0
634,Joe Kelly,,0,0,0,1,0,1,10.82,4.12,0.75,0.301,75.90%,49.40%,3.22,3.33,0
635,Hagen Danner,CIN,1,1,0,18,0,18,7.82,3.36,1.34,0.299,72.00%,43.30%,4.51,4.56,0
636,Joey Estes,ATH,1,2,0,30,0,30,7.3,2.11,1.61,0.286,71.40%,31.90%,4.59,4.7,0
637,Andrew Sears,DET,0,0,0,6,0,6,7.87,3.37,1.06,0.29,73.40%,42.50%,3.94,4.21,0
638,Jose Franco,CIN,1,1,0,14,0,14,8.5,3.53,1.38,0.288,73.00%,39.50%,4.37,4.55,0
639,Justin Wilson,,0,0,0,1,0,1,9.87,3.19,1.03,0.29,75.80%,40.50%,3.45,3.61,0
640,Jon Gray,,0,0,0,1,0,1,8.85,2.5,1.15,0.295,73.90%,40.00%,3.75,3.77,0
641,Josh Winckowski,TOR,0,0,0,1,0,1,8,2.61,0.97,0.3,73.60%,49.00%,3.66,3.75,0
642,Brian Van Belle,TBR,0,0,0,1,0,1,7.14,1.91,1.1,0.296,72.40%,46.40%,3.83,3.89,0
643,David Robertson,,0,0,0,1,0,1,10.35,3.59,0.97,0.294,74.90%,42.70%,3.53,3.56,0
644,Randy Rodríguez,SFG,0,0,0,1,0,1,10.02,3.4,0.96,0.29,74.60%,40.40%,3.51,3.56,0
645,Forrest Whitley,,0,0,0,1,0,1,9.58,3.44,1.05,0.291,74.20%,41.20%,3.72,3.82,0
646,Ronny Henriquez,MIA,0,0,0,1,0,1,9.3,3.35,0.99,0.295,73.40%,43.70%,3.75,3.75,0
647,Dedniel Núñez,NYM,0,0,0,1,0,1,9.53,3.57,1.06,0.285,75.30%,40.60%,3.62,3.84,0
648,Dan Altavilla,MIN,2,2,0,42,0,42,7.98,4.25,1.07,0.301,71.80%,44.30%,4.43,4.47,0
649,Andrew Walters,CLE,2,2,0,38,0,38,9.93,4.26,1.21,0.29,73.90%,35.60%,4.14,4.21,0
650,Jimmy Cordero,,0,0,0,1,0,1,9.34,3.23,1.01,0.293,74.50%,45.40%,3.6,3.72,0
651,Michael Grove,LAD,0,0,0,1,0,1,9.45,2.78,1.23,0.294,74.30%,41.10%,3.81,3.87,0
652,Reed Garrett,NYM,0,0,0,1,0,1,10.08,3.92,0.96,0.29,75.80%,43.70%,3.48,3.7,0
653,Anthony Gose,,0,0,0,1,0,1,10.62,3.97,1.05,0.291,75.90%,38.60%,3.6,3.74,0
654,Robert Stock,NYM,0,0,0,1,0,1,8.84,3.3,1.01,0.291,74.10%,44.80%,3.68,3.9,0
655,James Naile,,0,0,0,1,0,1,7.34,2.47,0.89,0.309,72.00%,52.50%,3.81,3.78,0
656,Collin Snider,CHC,1,1,0,14,0,14,7.31,3.23,1.22,0.294,72.10%,43.10%,4.33,4.48,0
657,Tucker Davidson,PHI,0,0,0,8,0,8,7.36,3.37,1.17,0.295,72.40%,43.90%,4.26,4.43,0
658,Ryan Burr,,0,0,0,1,0,1,9.59,3.24,1.06,0.293,74.40%,42.10%,3.68,3.72,0
659,A.J. Causey,ATH,1,1,0,13,0,13,7.66,3.5,1.22,0.297,71.80%,42.70%,4.42,4.49,0
660,Ryan Pressly,,0,0,0,1,0,1,8.22,3.12,0.99,0.303,72.90%,47.50%,3.88,3.89,0
661,Ray Kerr,ATL,0,0,0,1,0,1,9.82,3.36,1.1,0.298,74.20%,41.00%,3.79,3.79,0
662,Aneurys Zabala,LAA,0,0,0,1,0,1,10.25,4.26,1.1,0.296,74.20%,39.80%,3.96,4.01,0
663,Thomas Szapucki,,0,0,0,1,0,1,9.84,3.57,1.14,0.293,74.90%,38.90%,3.79,3.9,0
664,Trey Wingenter,,0,0,0,1,0,1,9.92,3.79,1.09,0.295,73.80%,39.60%,3.9,3.9,0
665,Dauri Moreta,,0,0,0,1,0,1,10.14,3.84,1.16,0.288,74.20%,35.80%,3.92,3.97,0
666,Pedro Avila,CLE,1,1,0,12,0,12,7.9,3.45,1.12,0.302,72.10%,45.00%,4.27,4.29,0
667,José Urquidy,PIT,3,4,0,32,6,62.2,6.79,2.6,1.48,0.292,69.90%,34.70%,4.8,4.74,0
668,J.B. Bukauskas,MIL,0,0,0,1,0,1,8.03,3.16,0.99,0.301,73.10%,49.10%,3.85,3.95,0
669,Kyle Backhus,PHI,3,3,0,52,0,52,8.03,3.68,1.15,0.292,73.30%,43.30%,4.12,4.4,0
670,Andrés Machado,,0,0,0,1,0,1,8.47,3.25,1.04,0.301,72.50%,45.90%,3.98,3.96,0
671,Casey Lawrence,SEA,0,1,0,2,2,9.1,4.5,2.18,1.54,0.29,69.30%,42.90%,5,5.2,0
672,Ian Hamilton,ATL,0,0,0,1,0,1,9.38,4.04,0.97,0.302,73.90%,45.20%,3.87,3.92,0
673,Shawn Dubin,ARI,0,0,0,1,0,1,8.52,3.59,0.96,0.306,72.40%,45.60%,4.03,3.96,0
674,Jake Eder,WSN,1,1,0,15,0,15,7.3,3.29,1.24,0.29,72.50%,39.90%,4.3,4.55,0
675,Dylan Smith,DET,1,1,0,20,0,20,7.75,3.74,1.06,0.296,72.60%,44.00%,4.16,4.31,0
676,Josh Taylor,,0,0,0,1,0,1,9.09,3.61,1.06,0.294,74.60%,41.70%,3.8,3.97,0
677,Sean Hjelle,,0,0,0,1,0,1,7.2,2.8,0.98,0.306,71.90%,51.90%,4.02,4.04,0
678,Daniel Hudson,,0,0,0,1,0,1,9.27,3.11,1.21,0.291,73.70%,37.00%,3.96,3.98,0
679,Tyler Cyr,,0,0,0,1,0,1,8.87,3.66,1.02,0.299,73.30%,44.70%,3.93,3.99,0
680,Jorge Alcala,TOR,0,0,0,1,0,1,9.63,3.8,1.27,0.285,74.10%,35.80%,4.07,4.2,0
681,David Price,,0,0,0,1,0,1,7.9,3.13,1.02,0.3,73.80%,46.00%,3.84,4,0
682,Víctor Arano,WSN,0,0,0,1,0,1,8.08,3.08,1.07,0.297,72.70%,44.60%,3.97,4.05,0
683,Brett Martin,,0,0,0,1,0,1,7.8,3.53,0.92,0.303,73.60%,49.30%,3.86,4.01,0
684,Anderson Espinoza,,0,0,0,1,0,1,7.77,3.13,0.98,0.304,72.30%,48.90%,3.99,4.01,0
685,José Castillo,,0,0,0,1,0,1,8.88,3.74,0.94,0.301,74.40%,47.30%,3.73,3.91,0
686,Darwinzon Hernández,,0,0,0,1,0,1,9.37,3.83,1.06,0.297,74.00%,42.80%,3.89,4.03,0
687,Frank German,,0,0,0,1,0,1,9.51,4.17,1.04,0.297,73.90%,42.40%,3.96,4.03,0
688,Mitch White,,0,0,0,1,0,1,7.91,3.11,1.03,0.301,72.20%,46.00%,4.02,4.04,0
689,Trent Harris,SFG,0,0,0,8,0,8,7.71,3.21,1.02,0.298,72.50%,46.30%,4,4.06,0
690,Tim Hill,NYY,3,3,0,66,0,66,5.45,2.86,0.92,0.303,72.50%,54.80%,4.01,4.33,0
691,Ben Heller,,0,0,0,1,0,1,9.09,3.48,1.04,0.295,73.10%,43.50%,3.89,3.99,0
692,Geoff Hartlieb,ATH,0,0,0,1,0,1,7.88,3.56,1.18,0.299,72.30%,43.60%,4.32,4.38,0
693,Carlos Hernández,CLE,0,0,0,1,0,1,9.15,3.81,1.18,0.29,73.10%,36.30%,4.15,4.19,0
694,Carl Edwards Jr.,NYM,0,0,0,1,0,1,8.16,3.62,1.04,0.292,73.80%,45.50%,3.9,4.13,0
695,Shelby Miller,CHC,0,0,0,1,0,1,9.31,3.27,1.18,0.289,73.00%,37.70%,3.99,4.01,0
696,Eduarniel Núñez,ATH,2,2,0,50,0,50,8.51,5.03,1.09,0.296,72.60%,44.00%,4.45,4.66,0
697,Jeremy Beasley,,0,0,0,1,0,1,8.5,3.2,1.12,0.3,72.80%,43.10%,4.06,4.07,0
698,Miguel Del Pozo,,0,0,0,1,0,1,8.69,3.38,1.12,0.294,73.80%,40.60%,3.94,4.07,0
699,James Norwood,NYY,0,0,0,1,0,1,9.4,3.7,1.19,0.288,74.60%,39.10%,3.93,4.1,0
700,Connor Thomas,ATL,0,0,0,1,0,1,6.55,2.71,1.03,0.306,72.30%,49.70%,4.09,4.19,0
701,Jesus Tinoco,MIA,0,0,0,1,0,1,8.18,3.72,1.1,0.298,72.30%,42.90%,4.24,4.28,0
702,Keynan Middleton,LAD,0,0,0,1,0,1,9.24,3.78,1.25,0.292,73.60%,40.90%,4.15,4.26,0
703,Joely Rodríguez,BOS,0,0,0,1,0,1,7.56,3.72,0.92,0.31,72.20%,50.70%,4.13,4.15,0
704,Zach Logue,,0,0,0,1,0,1,7.22,2.39,1.11,0.3,72.30%,45.60%,4,4.1,0
705,Walter Pennington,,0,0,0,1,0,1,7.98,3.85,0.93,0.3,73.60%,48.90%,3.9,4.1,0
706,Wes Parsons,,0,0,0,1,0,1,8.73,3.6,1.1,0.296,73.10%,42.90%,4.04,4.11,0
707,Josh Walker,BAL,0,0,0,1,0,1,8.41,3.83,1.13,0.297,73.60%,43.50%,4.11,4.3,0
708,Jesse Chavez,,0,0,0,1,0,1,7.99,3.16,1.25,0.295,72.40%,40.60%,4.3,4.32,0
709,Kyle Muller,,0,0,0,1,0,1,7.25,2.77,1.09,0.301,72.80%,45.60%,4.02,4.12,0
710,José Cisnero,,0,0,0,1,0,1,9.14,3.93,1.09,0.295,73.50%,41.70%,4.02,4.13,0
711,Ian Anderson,,0,0,0,1,0,1,7.63,3.8,1.06,0.3,72.70%,46.50%,4.2,4.33,0
712,Amir Garrett,,0,0,0,1,0,1,9.92,4.66,1.05,0.292,74.30%,40.20%,3.97,4.13,0
713,Antonio Senzatela,COL,4,6,0,60,8,95,5.74,2.81,1.42,0.32,68.10%,45.50%,5.37,4.98,0
714,Oliver Ortega,,0,0,0,1,0,1,8.49,3.62,1.08,0.297,73.00%,43.80%,4.06,4.14,0
715,Nick Burdi,NYM,0,0,0,1,0,1,9.77,4.19,1.01,0.287,74.80%,41.70%,3.74,3.98,0
716,Adam Kloffenstein,NYY,0,0,0,1,0,1,8.17,3.17,1.13,0.29,73.40%,44.40%,3.94,4.18,0
717,Junior Fernández,ARI,0,0,0,1,0,1,8.67,4.05,0.89,0.305,72.70%,47.80%,3.98,3.98,0
718,Jordan Balazovic,,0,0,0,1,0,1,8,3.64,1.03,0.301,72.70%,46.80%,4.09,4.16,0
719,John Rooney,TBR,0,0,0,1,0,1,8.61,4.11,0.92,0.297,73.90%,48.00%,3.85,4.13,0
720,Matt Bush,,0,0,0,1,0,1,8.96,3.28,1.25,0.294,73.10%,39.00%,4.14,4.16,0
721,Brady Feigl,,0,0,0,1,0,1,7.9,3.08,1.13,0.295,73.40%,42.60%,3.99,4.16,0
722,Manny Banuelos,,0,0,0,1,0,1,8.48,4.16,0.95,0.301,73.50%,44.70%,4,4.14,0
723,Dylan Covey,,0,0,0,1,0,1,7.25,3.39,0.96,0.304,72.30%,50.60%,4.08,4.16,0
724,Freddy Tarnok,,0,0,0,1,0,1,8.83,3.79,1.17,0.291,73.30%,40.10%,4.12,4.25,0
725,Rafael Dolis,,0,0,0,1,0,1,8.02,3.25,1.12,0.298,72.30%,43.30%,4.15,4.17,0
726,Joe Jacques,NYM,0,0,0,1,0,1,7.31,3.48,0.87,0.298,74.00%,52.00%,3.72,4.11,0
727,T.J. Brock,TOR,0,0,0,1,0,1,8.82,3.74,1.12,0.294,73.10%,42.00%,4.09,4.18,0
728,Kent Emanuel,,0,0,0,1,0,1,6.71,2.67,1.02,0.303,72.10%,48.80%,4.05,4.16,0
729,JT Chargois,,0,0,0,1,0,1,8.4,3.46,1.13,0.297,72.70%,42.10%,4.14,4.17,0
730,Declan Cronin,TEX,0,0,0,1,0,1,7.73,3.76,0.98,0.304,72.10%,48.80%,4.18,4.24,0
731,Drew Smyly,,0,0,0,1,0,1,8.78,2.97,1.3,0.289,74.00%,36.10%,4.04,4.18,0
732,Brooks Kriske,ATH,0,0,0,1,0,1,9.31,4.31,1.2,0.294,73.20%,39.40%,4.28,4.35,0
733,Jeff Criswell,COL,1,1,0,18,0,18,8.34,3.52,1.43,0.306,70.70%,38.90%,4.86,4.64,0
734,Brandon Leibrandt,CIN,0,0,0,1,0,1,7.49,2.72,1.34,0.293,73.40%,42.80%,4.19,4.42,0
735,Jhonathan Díaz,SEA,0,0,0,1,0,1,7.07,2.17,0.99,0.29,73.90%,47.70%,3.54,3.87,0
736,Taylor Hearn,,0,0,0,1,0,1,8.31,3.55,1.12,0.297,73.40%,42.00%,4.07,4.21,0
737,Adam Ottavino,,0,0,0,1,0,1,8.84,3.72,1.05,0.298,71.00%,43.70%,4.24,4.11,0
738,Jacob Waguespack,MIL,0,0,0,1,0,1,8.65,3.74,1.14,0.296,73.00%,43.70%,4.14,4.22,0
739,Allan Winans,,0,0,0,1,0,1,7.21,2.34,1.16,0.296,71.90%,45.90%,4.04,4.12,0
