#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
359,Jason Alexander,HOU,2,3,0,21,5,43.1,6.87,2.82,1.2,0.302,71.20%,48.70%,4.37,4.41,0.3
360,Cooper Criswell,SEA,4,4,0,57,3,72,7.48,2.49,1.03,0.295,72.70%,47.80%,3.81,3.96,0.3
361,Ryan Gusto,MIA,2,3,0,31,3,45.2,7.7,2.89,1.29,0.292,71.60%,38.70%,4.34,4.38,0.2
362,Jordan Wicks,CHC,1,1,0,17,2,24,8.2,2.74,1.08,0.295,74.30%,45.90%,3.7,3.88,0.2
363,Robert Stephenson,LAA,2,2,0,36,0,36,9.97,3.12,1.28,0.29,74.20%,34.60%,3.93,3.91,0.2
364,Anthony Bender,MIA,3,3,1,61,0,61,8.64,3.56,0.97,0.302,72.70%,45.50%,3.96,3.94,0.2
365,Nick Mears,KCR,3,3,0,60,0,60,9.05,3.5,1.15,0.298,72.70%,38.10%,4.13,4.06,0.2
366,Keegan Akin,BAL,3,3,3,66,0,66,9.32,3.34,1.23,0.294,75.10%,38.10%,3.91,4.06,0.2
367,Calvin Faucher,MIA,3,3,5,64,0,64,8.92,3.73,0.99,0.302,72.70%,44.90%,4,3.96,0.2
368,Sam Hentges,SFG,1,1,0,26,0,26,9.32,3.07,0.8,0.302,74.50%,49.70%,3.34,3.35,0.2
369,Zak Kent,MIN,3,3,0,54,0,54,8.53,3.98,1.03,0.302,72.50%,43.90%,4.19,4.19,0.2
370,Mitchell Parker,WSN,2,3,0,35,3,49.2,7.28,2.71,1.29,0.293,72.40%,38.40%,4.28,4.37,0.2
371,Hayden Wesneski,HOU,2,2,0,24,2,31,8.97,2.66,1.29,0.296,73.20%,40.50%,4.04,4.02,0.2
372,Julian Fernández,WSN,2,2,0,38,0,38,9.27,3.21,1.08,0.29,74.20%,40.60%,3.72,3.81,0.2
373,Jimmy Herget,COL,3,4,2,77,0,77,7.98,2.9,1.43,0.305,70.20%,37.40%,4.78,4.54,0.2
374,Jake Bird,NYY,3,3,0,57,0,57,9.19,3.76,1.01,0.294,74.20%,45.80%,3.77,3.98,0.2
375,Phil Maton,CHC,3,3,2,65,0,65,9.31,3.52,1.04,0.291,73.40%,42.60%,3.81,3.96,0.2
376,Tanner McDougal,CHW,3,3,0,22,6,53,7.69,4.29,1.23,0.295,71.80%,44.00%,4.61,4.79,0.2
377,Cristian Mena,ARI,1,1,0,13,2,20.1,8.53,3.3,1,0.303,72.20%,45.20%,3.99,3.9,0.2
378,Ty Johnson,TBR,1,1,0,3,3,18.1,8.78,3.35,1.27,0.289,72.30%,39.00%,4.22,4.28,0.2
379,Jalen Beeks,TEX,3,3,0,54,0,54,8.41,3.44,1.08,0.297,73.70%,42.90%,3.95,4.08,0.2
380,Jack Dreyer,LAD,3,2,0,52,0,52,8.74,3.53,1.29,0.287,74.50%,38.40%,4.08,4.33,0.2
381,Tony Santillan,CIN,3,4,4,70,0,70,9.46,4,1.33,0.29,73.70%,37.50%,4.3,4.44,0.2
382,Colin Selby,BAL,2,2,0,45,0,45,9.33,3.78,0.99,0.304,73.90%,46.70%,3.84,3.87,0.2
383,Cade Povich,BAL,1,1,0,15,2,22,9.05,3.02,1.21,0.295,74.60%,40.00%,3.87,3.97,0.2
384,Coleman Crow,MIL,1,1,0,22,0,22,9.65,2.94,1.03,0.294,74.50%,43.00%,3.56,3.58,0.2
385,Matt Svanson,STL,3,3,8,65,0,65,8.12,3.43,0.92,0.299,73.00%,47.80%,3.84,3.96,0.2
386,Mason Montgomery,PIT,3,3,2,60,0,60,9.13,3.68,1.07,0.292,73.90%,38.90%,3.89,4.01,0.2
387,Tim Herrin,CLE,3,3,0,56,0,56,9.51,4.28,0.94,0.298,74.40%,45.10%,3.78,3.96,0.2
388,Félix Bautista,BAL,1,0,0,11,0,11,12.69,3.91,0.87,0.291,77.30%,40.20%,3.04,2.98,0.2
389,Anthony Banda,MIN,3,3,1,56,0,56,8.88,3.95,1.05,0.298,73.50%,40.90%,4.02,4.12,0.2
390,Yaramil Hiraldo,BAL,2,2,0,38,0,38,9.22,3.31,1.27,0.289,73.90%,37.30%,4.03,4.13,0.2
391,Jaden Hill,COL,3,3,0,55,0,55,8.51,3.52,1.15,0.317,70.30%,46.20%,4.59,4.26,0.2
392,Liam Hendriks,,2,2,0,34,0,34,9.33,3.35,1.24,0.29,73.30%,36.40%,4.08,4.09,0.2
393,Ronel Blanco,HOU,1,1,0,14,2,21,9.57,3.37,1.26,0.29,73.80%,37.80%,4.02,4.05,0.2
394,John King,MIA,3,3,0,56,0,56,6.11,2.82,0.82,0.311,72.10%,55.90%,3.92,3.98,0.2
395,Josh White,MIA,2,2,0,47,0,47,9.13,3.78,1.07,0.293,73.60%,41.40%,3.94,4.03,0.2
396,Justin Sterner,ATH,3,3,8,65,0,65,8.79,3.31,1.37,0.287,72.50%,34.60%,4.35,4.41,0.2
397,Jack Perkins,ATH,1,1,0,24,0,24,9.53,3.59,1.03,0.294,73.90%,42.80%,3.76,3.85,0.2
398,Chris Murphy,CHW,3,3,0,56,0,56,8.41,4.03,1.07,0.295,73.90%,44.40%,4.02,4.31,0.2
399,Wandy Peralta,SDP,3,3,0,57,0,57,8.17,3.75,0.88,0.3,74.60%,50.70%,3.68,3.98,0.2
400,Brenan Hanifee,DET,2,2,0,42,0,42,6.78,2.51,0.91,0.304,72.00%,51.00%,3.87,3.89,0.2
401,Hoby Milner,CHC,3,3,0,60,0,60,7.57,2.88,1,0.3,73.70%,48.00%,3.79,3.98,0.2
402,Caden Dana,LAA,3,5,0,13,13,72.1,7.59,3.96,1.54,0.293,70.70%,38.60%,5.07,5.13,0.2
403,Alex Lange,KCR,3,3,0,52,0,52,9.48,4.59,0.91,0.304,73.10%,46.70%,4.02,4.03,0.2
404,Juan Mejia,COL,3,3,3,66,0,66,8.83,4.14,1.2,0.311,71.10%,43.30%,4.65,4.46,0.2
405,Codi Heuer,CLE,1,1,0,30,0,30,8.97,3.58,1.08,0.296,73.50%,43.50%,3.93,4.02,0.2
406,Brock Burke,CIN,3,3,1,62,0,62,8.55,3.18,1.28,0.294,73.90%,42.30%,4.09,4.26,0.2
407,Taylor Clarke,ARI,3,3,2,61,0,61,7.69,2.45,1.19,0.301,72.20%,40.70%,4.12,4.07,0.2
408,Andrew Chafin,,2,2,0,34,0,34,9.58,4.25,1.01,0.295,74.80%,41.70%,3.83,3.99,0.2
409,PJ Poulin,WSN,3,3,1,59,0,59,8.34,3.77,1.03,0.293,74.00%,44.40%,3.9,4.16,0.2
410,Greg Weissert,BOS,3,3,1,65,0,65,8.03,3.23,1.16,0.302,71.70%,41.90%,4.31,4.22,0.2
411,Zack Kelly,BOS,3,3,0,58,0,58,8.86,3.99,1.09,0.301,72.40%,42.90%,4.24,4.21,0.2
412,Ryan Bergert,KCR,3,4,0,24,8,60.1,7.4,3.58,1.37,0.296,70.40%,37.90%,4.83,4.78,0.2
413,Javier Assad,CHC,3,4,0,53,3,67.2,7.8,3.14,1.15,0.297,72.60%,43.80%,4.13,4.22,0.2
414,Ryne Stanek,STL,3,3,5,60,0,60,9.29,4.02,1.16,0.285,74.20%,34.10%,4.01,4.19,0.2
415,Brady Basso,ATH,1,1,0,26,0,26,8.33,2.85,1.11,0.295,74.00%,43.10%,3.8,3.94,0.2
416,Austin Warren,NYM,2,2,0,48,0,48,8.11,3.22,1.18,0.288,73.20%,41.00%,4.03,4.23,0.2
417,Josiah Gray,WSN,4,6,0,15,15,81.2,7.57,3.7,1.64,0.286,70.50%,34.30%,5.11,5.2,0.2
418,Luke Little,CHC,1,1,0,18,0,18,10.5,4.94,0.75,0.296,76.20%,49.90%,3.35,3.75,0.2
419,Ricky Tiedemann,TOR,1,1,0,10,2,17.1,9.5,3.98,1.08,0.293,74.50%,42.20%,3.87,4.05,0.2
420,Manuel Rodríguez,TBR,1,1,0,16,0,16,8.56,3.1,0.89,0.301,73.20%,49.40%,3.66,3.7,0.2
421,Brandon Eisert,CHW,2,2,0,36,0,36,8.54,3.39,1.16,0.293,74.20%,42.20%,3.95,4.17,0.2
422,Bryan Hudson,NYM,2,2,0,34,0,34,8.85,3.73,1,0.288,75.10%,44.00%,3.65,3.98,0.2
423,Jesse Scholtens,TBR,2,2,0,36,0,36,8.23,2.52,1.2,0.292,73.20%,40.70%,3.92,3.97,0.2
424,Kendry Rojas,MIN,2,2,0,40,0,40,8.32,3.34,1.07,0.298,73.40%,42.30%,3.96,4.07,0.2
425,Emerson Hancock,SEA,4,4,0,48,6,77.1,7.23,2.75,1.27,0.289,72.20%,42.70%,4.24,4.43,0.2
